[2017-12-17T13:03:35,895][INFO ][o.e.n.Node               ] [] initializing ...
[2017-12-17T13:03:36,013][INFO ][o.e.e.NodeEnvironment    ] [vukpIBq] using [1] data paths, mounts [[/ (/dev/disk1s1)]], net usable_space [77.6gb], net total_space [233.4gb], spins? [unknown], types [apfs]
[2017-12-17T13:03:36,013][INFO ][o.e.e.NodeEnvironment    ] [vukpIBq] heap size [1.9gb], compressed ordinary object pointers [true]
[2017-12-17T13:03:36,111][INFO ][o.e.n.Node               ] node name [vukpIBq] derived from node ID [vukpIBqAQ4q-S6D-39n8Xg]; set [node.name] to override
[2017-12-17T13:03:36,111][INFO ][o.e.n.Node               ] version[5.6.3], pid[6746], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Mac OS X/10.13.2/x86_64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_101/25.101-b13]
[2017-12-17T13:03:36,111][INFO ][o.e.n.Node               ] JVM arguments [-Xms2g, -Xmx2g, -XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/Users/glancyrodrigues/NYU/Masters/Semester 3/Cloud/Assignments/Assignment1/elasticsearch-5.6.3]
[2017-12-17T13:03:37,440][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [aggs-matrix-stats]
[2017-12-17T13:03:37,440][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [ingest-common]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [lang-expression]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [lang-groovy]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [lang-mustache]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [lang-painless]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [parent-join]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [percolator]
[2017-12-17T13:03:37,441][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [reindex]
[2017-12-17T13:03:37,442][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [transport-netty3]
[2017-12-17T13:03:37,442][INFO ][o.e.p.PluginsService     ] [vukpIBq] loaded module [transport-netty4]
[2017-12-17T13:03:37,442][INFO ][o.e.p.PluginsService     ] [vukpIBq] no plugins loaded
[2017-12-17T13:03:39,683][INFO ][o.e.d.DiscoveryModule    ] [vukpIBq] using discovery type [zen]
[2017-12-17T13:03:40,675][INFO ][o.e.n.Node               ] initialized
[2017-12-17T13:03:40,675][INFO ][o.e.n.Node               ] [vukpIBq] starting ...
[2017-12-17T13:03:40,940][INFO ][o.e.t.TransportService   ] [vukpIBq] publish_address {127.0.0.1:9300}, bound_addresses {[fe80::1]:9300}, {[::1]:9300}, {127.0.0.1:9300}
[2017-12-17T13:03:44,002][INFO ][o.e.c.s.ClusterService   ] [vukpIBq] new_master {vukpIBq}{vukpIBqAQ4q-S6D-39n8Xg}{Xw_ocpq0Q9qUsyuu4sDLzA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-elected-as-master ([0] nodes joined)
[2017-12-17T13:03:44,024][INFO ][o.e.h.n.Netty4HttpServerTransport] [vukpIBq] publish_address {127.0.0.1:9200}, bound_addresses {[fe80::1]:9200}, {[::1]:9200}, {127.0.0.1:9200}
[2017-12-17T13:03:44,024][INFO ][o.e.n.Node               ] [vukpIBq] started
[2017-12-17T13:03:44,397][INFO ][o.e.g.GatewayService     ] [vukpIBq] recovered [6] indices into cluster_state
[2017-12-17T13:03:45,389][INFO ][o.e.c.r.a.AllocationService] [vukpIBq] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[idx_twp][4]] ...]).
